panel,scheme,entities,value,unit,formula_id,evidence_class,status
fields,Ding et al. [35],24,77,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],24,197248,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,24,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,24,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,24,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],26,28,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],26,82,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],26,106752,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],26,28,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],26,83,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],26,166664,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],26,28,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],26,83,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],26,213664,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,26,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,26,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,26,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],28,30,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],28,88,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],28,114944,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],28,30,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],28,89,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],28,179464,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],28,30,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],28,89,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
